[16:47:57] Processing file resample_062.tab: 62/200 (31.0%) | Elapsed: 3s | ETA: 7s
[16:47:57] Processing file resample_063.tab: 63/200 (31.5%) | Elapsed: 3s | ETA: 7s
[16:47:57] Processing file resample_064.tab: 64/200 (32.0%) | Elapsed: 3s | ETA: 7s
[16:47:57] Processing file resample_065.tab: 65/200 (32.5%) | Elapsed: 3s | ETA: 7s
[16:47:57] Processing file resample_066.tab: 66/200 (33.0%) | Elapsed: 3s | ETA: 7s
[16:47:58] Processing file resample_067.tab: 67/200 (33.5%) | Elapsed: 3s | ETA: 7s
[16:47:58] Processing file resample_068.tab: 68/200 (34.0%) | Elapsed: 3s | ETA: 7s
[16:47:58] Processing file resample_069.tab: 69/200 (34.5%) | Elapsed: 3s | ETA: 7s
[16:47:58] Processing file resample_070.tab: 70/200 (35.0%) | Elapsed: 3s | ETA: 7s
[16:47:58] Processing file resample_071.tab: 71/200 (35.5%) | Elapsed: 3s | ETA: 7s
[16:47:58] Processing file resample_072.tab: 72/200 (36.0%) | Elapsed: 4s | ETA: 7s
[16:47:58] Processing file resample_073.tab: 73/200 (36.5%) | Elapsed: 4s | ETA: 7s
[16:47:58] Processing file resample_074.tab: 74/200 (37.0%) | Elapsed: 4s | ETA: 7s
[16:47:58] Processing file resample_075.tab: 75/200 (37.5%) | Elapsed: 4s | ETA: 7s
[16:47:58] Processing file resample_076.tab: 76/200 (38.0%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_077.tab: 77/200 (38.5%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_078.tab: 78/200 (39.0%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_079.tab: 79/200 (39.5%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_080.tab: 80/200 (40.0%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_081.tab: 81/200 (40.5%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_082.tab: 82/200 (41.0%) | Elapsed: 4s | ETA: 6s
[16:47:58] Processing file resample_083.tab: 83/200 (41.5%) | Elapsed: 4s | ETA: 6s
[16:47:59] Processing file resample_084.tab: 84/200 (42.0%) | Elapsed: 4s | ETA: 6s
[16:47:59] Processing file resample_085.tab: 85/200 (42.5%) | Elapsed: 4s | ETA: 6s
[16:47:59] Processing file resample_086.tab: 86/200 (43.0%) | Elapsed: 4s | ETA: 6s
[16:47:59] Processing file resample_087.tab: 87/200 (43.5%) | Elapsed: 4s | ETA: 6s
[16:47:59] Processing file resample_088.tab: 88/200 (44.0%) | Elapsed: 4s | ETA: 6s
[16:47:59] Processing file resample_089.tab: 89/200 (44.5%) | Elapsed: 5s | ETA: 6s
[16:47:59] Processing file resample_090.tab: 90/200 (45.0%) | Elapsed: 5s | ETA: 6s
[16:47:59] Processing file resample_091.tab: 91/200 (45.5%) | Elapsed: 5s | ETA: 6s
[16:47:59] Processing file resample_092.tab: 92/200 (46.0%) | Elapsed: 5s | ETA: 6s
[16:47:59] Processing file resample_093.tab: 93/200 (46.5%) | Elapsed: 5s | ETA: 6s
[16:47:59] Processing file resample_094.tab: 94/200 (47.0%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_095.tab: 95/200 (47.5%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_096.tab: 96/200 (48.0%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_097.tab: 97/200 (48.5%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_098.tab: 98/200 (49.0%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_099.tab: 99/200 (49.5%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_100.tab: 100/200 (50.0%) | Elapsed: 5s | ETA: 5s
[16:47:59] Processing file resample_101.tab: 101/200 (50.5%) | Elapsed: 5s | ETA: 5s
[16:48:00] Processing file resample_102.tab: 102/200 (51.0%) | Elapsed: 5s | ETA: 5s
[16:48:00] Processing file resample_103.tab: 103/200 (51.5%) | Elapsed: 5s | ETA: 5s
[16:48:00] Processing file resample_104.tab: 104/200 (52.0%) | Elapsed: 5s | ETA: 5s
[16:48:00] Processing file resample_105.tab: 105/200 (52.5%) | Elapsed: 5s | ETA: 5s
[16:48:00] Processing file resample_106.tab: 106/200 (53.0%) | Elapsed: 5s | ETA: 5s
[16:48:00] Processing file resample_107.tab: 107/200 (53.5%) | Elapsed: 6s | ETA: 5s
[16:48:00] Processing file resample_108.tab: 108/200 (54.0%) | Elapsed: 6s | ETA: 5s
[16:48:00] Processing file resample_109.tab: 109/200 (54.5%) | Elapsed: 6s | ETA: 5s
[16:48:00] Processing file resample_110.tab: 110/200 (55.0%) | Elapsed: 6s | ETA: 5s
[16:48:00] Processing file resample_111.tab: 111/200 (55.5%) | Elapsed: 6s | ETA: 5s
[16:48:00] Processing file resample_112.tab: 112/200 (56.0%) | Elapsed: 6s | ETA: 4s
[16:48:00] Processing file resample_113.tab: 113/200 (56.5%) | Elapsed: 6s | ETA: 4s
[16:48:00] Processing file resample_114.tab: 114/200 (57.0%) | Elapsed: 6s | ETA: 4s
[16:48:00] Processing file resample_115.tab: 115/200 (57.5%) | Elapsed: 6s | ETA: 4s
[16:48:00] Processing file resample_116.tab: 116/200 (58.0%) | Elapsed: 6s | ETA: 4s
[16:48:00] Processing file resample_117.tab: 117/200 (58.5%) | Elapsed: 6s | ETA: 4s
[16:48:00] Processing file resample_118.tab: 118/200 (59.0%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_119.tab: 119/200 (59.5%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_120.tab: 120/200 (60.0%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_121.tab: 121/200 (60.5%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_122.tab: 122/200 (61.0%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_123.tab: 123/200 (61.5%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_124.tab: 124/200 (62.0%) | Elapsed: 6s | ETA: 4s
[16:48:01] Processing file resample_125.tab: 125/200 (62.5%) | Elapsed: 7s | ETA: 4s
[16:48:01] Processing file resample_126.tab: 126/200 (63.0%) | Elapsed: 7s | ETA: 4s
[16:48:01] Processing file resample_127.tab: 127/200 (63.5%) | Elapsed: 7s | ETA: 4s
[16:48:01] Processing file resample_128.tab: 128/200 (64.0%) | Elapsed: 7s | ETA: 4s
[16:48:01] Processing file resample_129.tab: 129/200 (64.5%) | Elapsed: 7s | ETA: 4s
[16:48:01] Processing file resample_130.tab: 130/200 (65.0%) | Elapsed: 7s | ETA: 3s
[16:48:01] Processing file resample_131.tab: 131/200 (65.5%) | Elapsed: 7s | ETA: 3s
[16:48:01] Processing file resample_132.tab: 132/200 (66.0%) | Elapsed: 7s | ETA: 3s
[16:48:01] Processing file resample_133.tab: 133/200 (66.5%) | Elapsed: 7s | ETA: 3s
[16:48:01] Processing file resample_134.tab: 134/200 (67.0%) | Elapsed: 7s | ETA: 3s
[16:48:01] Processing file resample_135.tab: 135/200 (67.5%) | Elapsed: 7s | ETA: 3s
[16:48:01] Processing file resample_136.tab: 136/200 (68.0%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_137.tab: 137/200 (68.5%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_138.tab: 138/200 (69.0%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_139.tab: 139/200 (69.5%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_140.tab: 140/200 (70.0%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_141.tab: 141/200 (70.5%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_142.tab: 142/200 (71.0%) | Elapsed: 7s | ETA: 3s
[16:48:02] Processing file resample_143.tab: 143/200 (71.5%) | Elapsed: 8s | ETA: 3s
[16:48:02] Processing file resample_144.tab: 144/200 (72.0%) | Elapsed: 8s | ETA: 3s
